Path,Coefficient,SE,p_value,CI_Lower,CI_Upper
A: Emotion→Trust,0.7088369616085981,0.13603815792947085,8.565220343465079e-07,0.4422021720668352,0.975471751150361
B: Trust→Choice,0.3078643536354423,0.05718007742266606,4.055662596173478e-07,0.19579140188701682,0.41993730538386775
C': Direct,0.20841273901818697,0.09208781479944671,0.02555086100269435,0.027920622011271434,0.3889048560251025
C: Total,0.42663837203672916,0.09236292881984677,1.0275586007316649e-05,0.2456070315498295,0.6076697125236288
Indirect (Mediation),0.21822563301854186,0.05828236247609282,0.00018090997502606676,0.12430621165716979,0.3549996356966531
