Emotion_Heard,Trust_Heard,Choice_Intent_Heard,Cluster
7.0,7.0,5.333333333333333,0
5.0,5.0,4.666666666666667,1
7.0,7.0,7.0,0
5.666666666666667,6.0,5.666666666666667,0
6.0,2.0,4.0,2
4.333333333333333,5.0,4.333333333333333,1
6.0,7.0,7.0,0
5.666666666666667,6.0,5.0,0
5.0,2.0,4.333333333333333,2
6.333333333333333,7.0,5.333333333333333,0
5.666666666666667,6.0,4.333333333333333,2
2.333333333333333,4.0,3.6666666666666665,1
5.0,2.0,3.6666666666666665,2
6.333333333333333,7.0,6.666666666666667,0
4.666666666666667,6.0,6.333333333333333,1
4.0,5.0,4.666666666666667,1
5.0,5.0,5.0,1
5.333333333333333,5.0,4.666666666666667,2
4.333333333333333,7.0,5.0,1
4.0,3.0,5.0,1
5.666666666666667,6.0,4.333333333333333,2
5.0,4.0,4.666666666666667,1
4.666666666666667,6.0,5.0,1
6.333333333333333,7.0,6.666666666666667,0
6.333333333333333,6.0,6.0,0
6.666666666666667,7.0,6.666666666666667,0
6.0,7.0,5.666666666666667,0
6.0,6.0,6.333333333333333,0
6.0,6.0,4.333333333333333,2
4.0,4.0,4.0,1
4.333333333333333,4.0,4.0,1
4.333333333333333,5.0,5.666666666666667,1
6.0,6.0,3.6666666666666665,2
5.0,1.0,5.333333333333333,1
4.333333333333333,7.0,6.666666666666667,1
6.333333333333333,5.0,3.333333333333333,2
6.0,6.0,6.0,0
5.333333333333333,4.0,3.6666666666666665,2
5.333333333333333,5.0,4.333333333333333,2
4.0,4.0,4.0,1
7.0,4.0,1.6666666666666667,2
7.0,5.0,5.333333333333333,0
7.0,4.0,5.666666666666667,0
4.0,5.0,5.333333333333333,1
4.333333333333333,4.0,5.333333333333333,1
5.333333333333333,6.0,5.333333333333333,0
3.6666666666666665,2.0,5.333333333333333,1
5.333333333333333,2.0,4.0,2
3.6666666666666665,5.0,3.333333333333333,1
4.666666666666667,3.0,2.333333333333333,2
4.666666666666667,6.0,5.666666666666667,1
6.666666666666667,7.0,5.333333333333333,0
6.0,6.0,6.0,0
4.0,2.0,4.0,1
5.0,5.0,5.0,1
4.666666666666667,5.0,4.666666666666667,1
6.666666666666667,5.0,5.666666666666667,0
4.333333333333333,3.0,3.6666666666666665,1
5.666666666666667,6.0,5.0,0
5.666666666666667,6.0,5.666666666666667,0
5.0,5.0,3.333333333333333,2
6.666666666666667,7.0,7.0,0
5.666666666666667,6.0,4.333333333333333,2
5.333333333333333,6.0,5.333333333333333,0
6.666666666666667,7.0,6.666666666666667,0
